Influencer ID,Category,Tiktok Category,Related Influencer ID,Follower Count, Average View Count
fidget_.daqueen,Art,Art,charlieintheory,208496,3606
fidget_.daqueen,Art,Art,masontancanstealyourman,357101,122239
fidget_.daqueen,Art,Art,anna.mayz,223811,5570
fidget_.daqueen,Art,Art,chicagocuddletherapy,184509,5470
fidget_.daqueen,Art,Art,gildedshimmersoaps,178189,100048
fidget_.daqueen,Art,Art,thriftersifter,287186,220739
fidget_.daqueen,Art,Art,baciamilips,551618,186167
gagekrew,Art,Art,erinkatearcher,27742,19032
gagekrew,Art,Art,artbynikkigee,228916,20138
gagekrew,Art,Art,dianamayrice,149979,9493
gagekrew,Art,Art,madexlala,295088,404405
gagekrew,Art,Art,serendipitytheartist,357434,116939
gagekrew,Art,Art,scottas14,314884,142550
gagekrew,Art,Art,jacobcreates.965,235807,7594
gagekrew,Art,Art,rachelkuperman,527180,368275
gagekrew,Art,Art,toomanyjasmins,246743,19015
haley.likes.drawing,Art,Art,a_lazybee,1064713,852407
haley.likes.drawing,Art,Art,clayartisanjay1,4074441,2042437
haley.likes.drawing,Art,Art,iamshaneburke,1577272,56819
haley.likes.drawing,Art,Art,xiaolindrawings,3630819,490172
haley.likes.drawing,Art,Art,coctyan,3447127,154555
haley.likes.drawing,Art,Art,pattycshow,910667,1286395
haley.likes.drawing,Art,Art,justinbehm,911118,888353
haley.likes.drawing,Art,Art,conortravers95,848988,958019
haley.likes.drawing,Art,Art,myart1979,2037957,119868
jaealise,Art,Makeup|Art,xjanizax,269276,2065
jaealise,Art,Makeup|Art,aspiringgrandfather,249848,684
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,makeup.by.dre,127874,692
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,justcleanit,231552,101276
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,thevictoriamisu,115859,14917
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,coolsandwichgirl,172766,117165
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,user426127863,105759,6273
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,say.satisfying,217606,35667
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,amazingnail,252828,5900
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,monarchcreationshop,128213,16727
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,geckogorl24,205070,1362
jeffcopelandart,Art,Art|Outfit,hobbymakan.id,1201012,598065
jeffcopelandart,Art,Art|Outfit,william_cs_,2610996,18893
jeffcopelandart,Art,Art|Outfit,bayuuprasetyo,734190,825036
jeffcopelandart,Art,Art|Outfit,rivantelminthes,286995,1971901
jeffcopelandart,Art,Art|Outfit,ireneswnd,1868544,715629
jeffcopelandart,Art,Art|Outfit,anitarassya09,118550,16235
jeffcopelandart,Art,Art|Outfit,masterchrisleongtittarr,1087647,299859
jeffcopelandart,Art,Art|Outfit,rullyaustin,809825,401927
jeffcopelandart,Art,Art|Outfit,rizky_aul,2221076,238812
kadeanselart,Art,Art|Vlog,gabbyfrosty,6314,2947
kadeanselart,Art,Art|Vlog,tobiesunshine,152078,14757
kadeanselart,Art,Art|Vlog,craftykyleelaza,134124,3637
kadeanselart,Art,Art|Vlog,tofunug,126694,151699
kadeanselart,Art,Art|Vlog,tylynnmackenzie,12485,262
kadeanselart,Art,Art|Vlog,keanupagano,116682,3748
kadeanselart,Art,Art|Vlog,fantasyfawn,219615,59827
kadeanselart,Art,Art|Vlog,moniqueaimee,64307,18146
kadeanselart,Art,Art|Vlog,the_madhadder,166664,4933
kyralove14,Art,Vlog|Art,annapetryy,143575,49584
kyralove14,Art,Vlog|Art,.sarah.kathryn,151054,5666
kyralove14,Art,Vlog|Art,andyy.vibes,73576,1040
kyralove14,Art,Vlog|Art,tai_tai_talks,147887,3597
kyralove14,Art,Vlog|Art,dino510,155442,79685
kyralove14,Art,Vlog|Art,lifetips02,160014,33272
kyralove14,Art,Vlog|Art,2.22am..._,104607,286676
kyralove14,Art,Vlog|Art,spicyyeeg,188758,54977
kyralove14,Art,Vlog|Art,lynhatessneezes,105791,53332
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,willandwesson,363566,14201
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,the.chemists.daughter,97421,3097
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,thejesscrow,39638,50687
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,itsbyliv,196247,5847
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,daisymaedoodle,130588,24376
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,tai_tai_talks,147887,3597
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,lovealoner,313778,16359
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,barkycatbros,165952,701
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,pressbeworkshop,151861,2237
