Influencer ID,Category,Tiktok Category,Country,Percentage
theendoftheinternet,Art,Hair|Art,Brazil,4.454963653776709
tiannalasagna,Art,Art,United States,56.70250724011584
tiannalasagna,Art,Art,United Kingdom,7.60812172994768
tiannalasagna,Art,Art,Canada,3.3640538248611978
trav_carves,Art,Art|Vlog,United States,65.35293294409102
trav_carves,Art,Art|Vlog,United Kingdom,4.033028306820498
trav_carves,Art,Art|Vlog,Mexico,4.011176394041549
will.snell.683,Art,Art,United States,40.00259242723201
will.snell.683,Art,Art,United Kingdom,6.449958953235494
will.snell.683,Art,Art,Brazil,4.5448129851799575
